mean	delta	phaseL	phaseR	time	x	dx	dy	power_L	power_R
 375.000	   2.143	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   2.143	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   2.143	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   2.143	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   2.143	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   2.143	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   2.143	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   2.143	   0.386	   0.000	   7.950	  11.029	   1.346	  -0.102	 -12.062	 -27.300
 375.000	   2.857	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   2.857	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   2.857	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   2.857	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   2.857	   0.386	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   2.857	   0.386	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   2.857	   0.386	   0.000	  12.990	  13.423	   0.414	  -0.013	 -42.978	-125.145
 390.000	   2.857	   0.386	   0.000	   7.950	  11.016	   1.341	  -0.108	 -12.401	 -27.058
 375.000	   3.571	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   3.571	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   3.571	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   3.571	   0.386	   0.000	   7.950	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   3.571	   0.386	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   3.571	   0.386	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   3.571	   0.386	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   3.571	   0.386	   0.000	   7.920	  10.947	   1.331	  -0.115	 -12.660	 -27.452
 375.000	   4.286	   0.386	   0.000	   7.920	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   4.286	   0.386	   0.000	   7.920	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   4.286	   0.386	   0.000	   7.920	9999.000	9999.000	9999.000	9999.000	9999.000
